### 3. Debug Sheet (CSV format)


Step,planCode,dataUsage_GB,totalBill,Condition Checked,Result,Remarks
T1: Input (1, 15.0),1,15.0,0.0,,Start,
1,1,15.0,0.0,"planCode == 1?",True,Basic Plan
2,1,15.0,299.0,,,Apply base rate
3,1,15.0,299.0,"dataUsage_GB > 10.0?",True,Excess data = 5.0
4,1,15.0,349.0,"totalBill = 299 + (10 * 5.0)",,Calculation complete
5,1,15.0,349.0,"Output check (planCode valid?)",True,Output: 349.00
T2: Input (2, 15.0),2,15.0,0.0,,Start,
1,2,15.0,0.0,"planCode == 1?",False,
2,2,15.0,0.0,"planCode == 2?",True,Premium Plan
3,2,15.0,599.0,,,Apply base rate
4,2,15.0,599.0,"dataUsage_GB > 20.0?",False,No excess
5,2,15.0,599.0,"Output check (planCode valid?)",True,Output: 599.00
T3: Input (2, 30.0),2,30.0,0.0,,Start,
1,2,30.0,0.0,"planCode == 1?",False,
2,2,30.0,0.0,"planCode == 2?",True,Premium Plan
3,2,30.0,599.0,,,Apply base rate
4,2,30.0,599.0,"dataUsage_GB > 20.0?",True,Excess data = 10.0
5,2,30.0,699.0,"totalBill = 599 + 50 + (5 * 10.0)",,Calculation complete
6,2,30.0,699.0,"Output check (planCode valid?)",True,Output: 699.00
T4: Input (3, 50.0),3,50.0,0.0,,Start,
1,3,50.0,0.0,"planCode == 1?",False,
2,3,50.0,0.0,"planCode == 2?",False,
3,3,50.0,0.0,"Output check (planCode valid?)",False,Output: Invalid Plan Code
