Step,N,i,unitPrice,quantity,itemCost,grandTotal,Condition(unitPrice >= 1000.00),Output
Test Case 1: Input: 3, 1200.00, 1, 500.00, 2, 1000.00, 3
1,Read N,3, , , ,0.0, ,
2,Loop (i=0),3,1200.00,1, ,0.0, ,
3,Read unitPrice,quantity,3,1200.00,1, ,0.0, ,
4,itemCost = 1200.00 * 1,3,1200.00,1,1200.00,0.0, ,
5,unitPrice >= 1000.00?,3,1200.00,1,1200.00,0.0,TRUE,
6,itemCost = 1200.00 * 0.90,3,1200.00,1,1080.00,0.0, ,
7,grandTotal += 1080.00,3,1200.00,1,1080.00,1080.00, ,
8,Loop (i=1),3,500.00,2, ,1080.00, ,
9,Read unitPrice,quantity,3,500.00,2, ,1080.00, ,
10,itemCost = 500.00 * 2,3,500.00,2,1000.00,1080.00, ,
11,unitPrice >= 1000.00?,3,500.00,2,1000.00,1080.00,FALSE,
12,grandTotal += 1000.00,3,500.00,2,1000.00,2080.00, ,
13,Loop (i=2),3,1000.00,3, ,2080.00, ,
14,Read unitPrice,quantity,3,1000.00,3, ,2080.00, ,
15,itemCost = 1000.00 * 3,3,1000.00,3,3000.00,2080.00, ,
16,unitPrice >= 1000.00?,3,1000.00,3,3000.00,2080.00,TRUE,
17,itemCost = 3000.00 * 0.90,3,1000.00,3,2700.00,2080.00, ,
18,grandTotal += 2700.00,3,1000.00,3,2700.00,4780.00, ,
19,Loop End,3, , , ,4780.00, ,
20,Print Grand Total: %.2f, , , , ,4780.00, ,Grand Total: 4780.00

Test Case 2: Input: 2, 2000.00, 5, 50.00, 10
1,Read N,2, , , ,0.0, ,
2,Loop (i=0),2,2000.00,5, ,0.0, ,
3,Read unitPrice,quantity,2,2000.00,5, ,0.0, ,
4,itemCost = 2000.00 * 5,2,2000.00,5,10000.00,0.0, ,
5,unitPrice >= 1000.00?,2,2000.00,5,10000.00,0.0,TRUE,
6,itemCost = 10000.00 * 0.90,2,2000.00,5,9000.00,0.0, ,
7,grandTotal += 9000.00,2,2000.00,5,9000.00,9000.00, ,
8,Loop (i=1),2,50.00,10, ,9000.00, ,
9,Read unitPrice,quantity,2,50.00,10, ,9000.00, ,
10,itemCost = 50.00 * 10,2,50.00,10,500.00,9000.00, ,
11,unitPrice >= 1000.00?,2,50.00,10,500.00,9000.00,FALSE,
12,grandTotal += 500.00,2,50.00,10,500.00,9500.00, ,
13,Loop End,2, , , ,9500.00, ,
14,Print Grand Total: %.2f, , , , ,9500.00, ,Grand Total: 9500.00

Test Case 3: Input: 4, 500.00, 1, 500.00, 1, 500.00, 1, 500.00, 1
1,Read N,4, , , ,0.0, ,
2,Loop (i=0),4,500.00,1, ,0.0, ,
3,Read unitPrice,quantity,4,500.00,1, ,0.0, ,
4,itemCost = 500.00 * 1,4,500.00,1,500.00,0.0, ,
5,unitPrice >= 1000.00?,4,500.00,1,500.00,0.0,FALSE,
6,grandTotal += 500.00,4,500.00,1,500.00,500.00, ,
7,Loop (i=1),4,500.00,1, ,500.00, ,
8,Read unitPrice,quantity,4,500.00,1, ,500.00, ,
9,itemCost = 500.00 * 1,4,500.00,1,500.00,500.00, ,
10,unitPrice >= 1000.00?,4,500.00,1,500.00,500.00,FALSE,
11,grandTotal += 500.00,4,500.00,1,500.00,1000.00, ,
12,Loop (i=2),4,500.00,1, ,1000.00, ,
13,Read unitPrice,quantity,4,500.00,1, ,1000.00, ,
14,itemCost = 500.00 * 1,4,500.00,1,500.00,1000.00, ,
15,unitPrice >= 1000.00?,4,500.00,1,500.00,1000.00,FALSE,
16,grandTotal += 500.00,4,500.00,1,500.00,1500.00, ,
17,Loop (i=3),4,500.00,1, ,1500.00, ,
18,Read unitPrice,quantity,4,500.00,1, ,1500.00, ,
19,itemCost = 500.00 * 1,4,500.00,1,500.00,1500.00, ,
20,unitPrice >= 1000.00?,4,500.00,1,500.00,1500.00,FALSE,
21,grandTotal += 500.00,4,500.00,1,500.00,2000.00, ,
22,Loop End,4, , , ,2000.00, ,
23,Print Grand Total: %.2f, , , , ,2000.00, ,Grand Total: 2000.00

Test Case 4: Input: 1, 1500.00, 10
1,Read N,1, , , ,0.0, ,
2,Loop (i=0),1,1500.00,10, ,0.0, ,
3,Read unitPrice,quantity,1,1500.00,10, ,0.0, ,
4,itemCost = 1500.00 * 10,1,1500.00,10,15000.00,0.0, ,
5,unitPrice >= 1000.00?,1,1500.00,10,15000.00,0.0,TRUE,
6,itemCost = 15000.00 * 0.90,1,1500.00,10,13500.00,0.0, ,
7,grandTotal += 13500.00,1,1500.00,10,13500.00,13500.00, ,
8,Loop End,1, , , ,13500.00, ,
9,Print Grand Total: %.2f, , , , ,13500.00, ,Grand Total: 13500.00
