Step,Variable,Expected,Actual
1,N,5,5
2,N <= 0 Check,False,False
3,Loop Start (i),0,0
4,i < N (0 < 5),True,True
5,Output,Hello Loop!,Hello Loop!
6,i++,1,1
7,i < N (1 < 5),True,True
8,Output,Hello Loop!,Hello Loop!
9,i++,2,2
10,i < N (2 < 5),True,True
11,Output,Hello Loop!,Hello Loop!
12,i++,3,3
13,i < N (3 < 5),True,True
14,Output,Hello Loop!,Hello Loop!
15,i++,4,4
16,i < N (4 < 5),True,True
17,Output,Hello Loop!,Hello Loop!
18,i++,5,5
19,i < N (5 < 5),False,False
20,Program End,0 (Return Code),0 (Return Code)
